,Meiobenthos,Bottlenose dolphins,Import,Offshore pelagic invertivores large,Slope small demersal piscivores,Shelf small demersal omnivores,Small petrels,Anchovy and other small pelagics,Seagrass,Baleen whales,Shelf demersal sharks,Detritus POM,Small phytoplankton,Octopus shelf,Squid & cuttlefish shelf,Shelf small demersal piscivores,Gulls,Skates and rays,Shelf large demersal piscivores,Shelf large demersal omnivores,Offshore pelagic piscivores,Mesozooplankton,Deep filter feeders,Slope small demersal invertivores,Detritus,Shags and cormorants,Garfish,Microzooplankton,Mackerels,Migratory mesopelagics,Macroalgae,Slope large demersal omnivores,Shelf pelagic sharks,Long-nosed fur seal,Deep macrozoobenthos,Non-migrating mesopelagics,Deep squid,Gelatinous zooplankton,Common dolphins,Shearwaters,Redbait,Toothed whales,Benthic carnivores (infauna),Benthic grazers,Tunas and billfish,Shelf filter feeders,Gannets,Benthic detritivore,Pelagic bacteria,Large phytoplankton,Rock lobster,Little Penguins,Australian fur seal,Large zooplankton,Crabs & bugs,Deep demersal sharks,Offshore pelagic sharks,Australian sea lion,Shelf macrozoobenthos,Albatross,Western king prawn,Shelf large pelagic piscivores
Offshore pelagic piscivores,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.04123711340206185,0.0,0.0
Mesozooplankton,0.15,0.0,0.0,0.15,0.11864406779661016,0.2448979591836734,0.1,0.38,0.0,0.25,0.0,0.0,0.0,0.04166666666666666,0.33,0.09999999999999998,0.0,0.0,0.08,0.08080808080808077,0.047619047619047616,0.15,0.7044025157232703,0.10112359550561796,0.0,0.0,0.4,0.005,0.5604395604395603,0.14999999999999997,0.0,0.029999999999999992,0.0,0.0,0.11764705882352937,0.17,0.009900990099009901,0.33,0.0,0.04,0.2,0.0,0.0,0.01,0.01,0.24999999999999994,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.15,0.0,0.04,0.0,0.0,0.10999999999999995,0.0,0.0,0.08823529411764705
Deep filter feeders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201253,0.011235955056179773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope small demersal invertivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.54,0.0,0.0,0.0,0.26999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.11999999999999997,0.0,0.0,0.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999999999994,0.0,0.25,0.0
Shags and cormorants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.07865168539325842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764684,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0
Mackerels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020193,0.0,0.0,0.006289308176100627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02091020910209102,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
Migratory mesopelagics,0.0,0.0,0.0,0.0,0.22033898305084743,0.08163265306122447,0.15,0.0,0.0,0.08,0.037974683544303785,0.0,0.0,0.05208333333333333,0.0,0.07499999999999998,0.0,0.23999999999999994,0.0,0.10101010101010097,0.14285714285714285,0.0,0.0,0.03370786516853932,0.0,0.03,0.0,0.0,0.0,0.039999999999999994,0.0,0.30999999999999994,0.0,0.2,0.0941176470588235,0.18,0.1188118811881188,0.0,0.2079207920792079,0.09,0.33,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.04,0.05,0.125,0.0,0.0,0.04999999999999998,0.1546391752577319,0.0,0.0
Macroalgae,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020193,0.019047619047619046,0.0,0.03773584905660376,0.022471910112359546,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,0.25,0.0,0.0,0.0,0.13999999999999996,0.0,0.0,0.0
Slope large demersal omnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf pelagic sharks,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03690036900369003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-nosed fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004920049200492004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
Deep macrozoobenthos,0.0,0.0,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.0,0.0,0.0,0.0,0.0,0.04040404040404039,0.009523809523809523,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.009999999999999998,0.0,0.09999999999999998,0.0,0.0,0.0,0.15,0.5643564356435643,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Non-migrating mesopelagics,0.0,0.15,0.0,0.0,0.016949152542372878,0.030612244897959176,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.010416666666666664,0.0,0.07499999999999998,0.0,0.04999999999999999,0.11,0.07070707070707068,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.009999999999999998,0.0,0.029999999999999992,0.0,0.0,0.08235294117647056,0.06,0.04950495049504951,0.0,0.04950495049504951,0.09,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.01,0.0,0.125,0.0,0.0,0.0,0.10309278350515462,0.0,0.09411764705882353
Deep squid,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.05063291139240504,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.04040404040404039,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.06999999999999999,0.051660516605166046,0.25,0.0941176470588235,0.12,0.0891089108910891,0.0,0.10891089108910891,0.0,0.0,0.35,0.0,0.0,0.25,0.0,0.08,0.0,0.0,0.0,0.0,0.06999999999999999,0.07999999999999996,0.0,0.0,0.15,0.0,0.0,0.0,0.3608247422680411,0.0,0.0
Gelatinous zooplankton,0.0,0.0,0.0,0.1,0.06779661016949151,0.040816326530612235,0.08,0.05,0.0,0.1,0.01265822784810126,0.0,0.0,0.010416666666666664,0.0,0.039999999999999994,0.039999999999999994,0.029999999999999992,0.0,0.03030303030303029,0.047619047619047616,0.04,0.006289308176100627,0.04494382022471909,0.0,0.0,0.0,0.0,0.05494505494505494,0.16999999999999998,0.0,0.0,0.0,0.0,0.07058823529411762,0.08,0.009900990099009901,0.02,0.0,0.05,0.1,0.0,0.0,0.01,0.02,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.05,0.0,0.02,0.0,0.0,0.04999999999999998,0.0,0.0,0.023529411764705882
Common dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009840098400984008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
Shearwaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764
Redbait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007380073800738006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores (infauna),0.0,0.0,0.0,0.0,0.0,0.07653061224489795,0.0,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.031249999999999993,0.0,0.0,0.0,0.0,0.0,0.04040404040404039,0.0,0.0,0.006289308176100627,0.19101123595505617,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.029999999999999992,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.05999999999999997,0.0,0.25,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.06122448979591835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.03773584905660376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunas and billfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043050430504305036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
