Page,Type,Comment,Highlighted Text,Context,Author
11,FreeText,Not to state the obvious but is there any test/ check (either in the process or by a human after the fact) that the species has ended up in the right group? ie guarding against being consistently wrong?,,,Default User
12,Text,"would it be useful to breakdown number of species into categories of fish species, marine invertebrates, phytoplankton, zooplankton, bacteria?",,"and pelagic Northern the regions, systems. coastal Territory's in processing evaluated tralian environments, our 350 351 349 We 348 Processing",str191
12,Highlight,,"We evaluated our framework through ve independent runs across three distinct Aus- 347 tralian regions, processing a total of 41,085 species. The framework handled 11,362 species 348",,str191
12,Highlight,"maybe you could introduce what you plan to do with CV, so the reader understands why you describe it?","ing inconsistent prediction across iterations. For elements where µij = 0, we set CVij = 0 333 to avoid unde ned values. 334",,bos043
12,Highlight,i think this paragraph need more explanation about why these tests were chosen and what they aim to show. i am struggling to follow the result sections below as a result,"We conducted statistical analyses to evaluate framework performance across regions. We 336 assessed group consistency using chi-square tests and coe cients of variation, examining 337 the stability of species assignments across iterations. We analyzed regional di erences in 338 group characteristics using one-way ANOVA with Cohen's f e ect size calculations. We 339 evaluated trophic level patterns using Kruskal-Wallis tests to identify signi cant di er- 340 ences in trophic structure. We quanti ed diet matrix reliability through pairwise Spear- 341 man correlations between iterations, focusing on signi cant interactions (>0.05 propor- 342 tion). 343 Also touch on it in discussion - even if passing these tests was considered desirable,",,bos043
12,FreeText,Why this value? And how sensitive is it to this threshold ( oils we run it with lower values)? A link that is much less than this in EwE (eg. <0.p1% for instance) can still be a major pressure on a less common group,,,Default User
12,FreeText,"Also touch on it in discussion - even if passing these tests was considered desirable, would one that failed these tests still be an ok starting point for building a model (as a human we often have to start with really rubbery stuff). More important that you get something” good enough”  to be a reliable pie ce of info than have to be perfect and.thus end up with nothing considered suitable",,,Default User
12,FreeText,Australia,,,Default User
13,Highlight,you mean from the templates? or from AI initial choice?,63 potential functional groups,,bos043
13,Highlight,i understood what consistency across region is and why it matters only at the second pass,indicated consistency across regions (p > 0.85).,,bos043
13,Highlight,we need to say something on whether these values are good,"measurements were: South East Inshore (mean = 0.002, SD = 0.004), Northern Territory 372 (mean = 0.004, SD = 0.012), and South East O shore (mean = 0.019, SD = 0.052). 373",,bos043
13,Highlight,"either i don't understand this sentence, or i don't understand how it relates to this work",ANOVA revealed signi cant regional di erences in group sizes 374,,bos043
13,FreeText,Australia,,,Default User
13,FreeText,Needs more explanation earlier I think,,,Default User
14,Highlight,would a log plot on Y axis help here?,"Figure 3: Multi-panel analysis of framework performance across regions. (A) Box plots of functional group sizes (0-3000 species), showing similar median sizes but varying distri- butions across regions, with outliers indicating some very large groups. (B) Violin plots",,bos043
14,Highlight,a bit hard to read. i wonder whether it is helpful.,"butions across regions, with outliers indicating some very large groups. (B) Violin plots of species classi cation consistency (0.4-1.0), where wider sections indicate more species",,bos043
14,Highlight,i wonder whether this coudl be moved to an appendix,Figure 3:,,bos043
14,Highlight,"i am not sure what we are trying to measure with this correlation test (see my comment above in Methods), but is it possible that these negative correlations are due to the fact that diet coefficients need to sum to 1?","of signi cant interactions (>0.05 proportion) revealed moderate negative correlations be- 394 tween iterations in both the Northern Territory (mean r = -0.671, 95% CI [-0.698, -0.645]) 395",,bos043
15,Highlight,yellow?,Darker red colors,,bos043
15,Highlight,darker?,lighter colors,,bos043
15,Highlight,what is species pattern?,Pattern,,bos043
17,FreeText,Plot of diet consistency or magnitude? Caption currently unclear.,,,Default User
18,Text,is there a need for a paragraph on expert review and where in the framework expert review is included. Perhaps it can be explicitly shown in Figure 1?,,"Consistency demersal robust performance the shallow diverse sh highest human I across exhibited do particularly marine showed three distinct variability,",str191
18,Highlight,"i wonder whether there are 2 points to make here1) this is not an AI step, strictly speaking2) for regions we are likely to work often, in principle the data could be harvested once and stored locally. We have discussed briefly the pros and cons of doing this","ability. Data harvesting and diet collection emerge as the primary computational bottle- 422 necks, particularly evident in the South East Inshore region's extended processing times. 423",,bos043
18,Highlight,"this is very high number indeed. have we checked that this reflects actual correct assignments: that is, following tyhe rest of teh paragraph, can we say something on whether these assignments are ecologically valid and are not consistent mistakes?",(98.8-99.6%),,bos043
18,Highlight,see my comment above,The moderate negative correlations between iterations initially appear concerning.,,bos043
18,Highlight,"i think this sentence could go in the abstractsame applies to ""The framework's ability to capture this fundamental ecological pattern450 suggests it successfully incorporates biological realism into its classification decisions."" below",The observed trophic level patterns provide compelling evidence for the framework's 445 ecological validity. The consistent classi cation of higher trophic level species re ects the 446,,bos043
18,FreeText,I do think we need to mention the human steps too.,,,Default User
19,FreeText,for Northern Australia,,,Default User
19,FreeText,this,,,Default User
19,FreeText,Also less data in the north (especially per sub-system) than in the southeast,,,Default User
20,Highlight,"I by no means suggest we do this now, but EwE used to use the ‘pedigree’ as a measure of parameterisation quality. In principle, we could ask LLM to tell us where each data come from, check for hallucination, and compute the ‘pedigree’.",The framework's explicit quanti cation of uncertainty in species classi cations researchers and,,bos043
20,FreeText,Modelers,,,Default User
20,FreeText,researchers and,,,Default User
20,FreeText,I really like the pedigree point!,,,Default User
20,FreeText,resource,,,Default User
20,FreeText,and conservation,,,Default User
