,Seagrass,Deposit feeders,Planktivores,Microplankton,Bacteria,Microalgae,Macrozoobenthos,Oceanic piscivorous fish,Shallow demersal fish,Meiobenthos,Nanoplankton,Prawns,Nano-Picoplankton,Microzooplankton,Skates and rays,Herbivorous demersal fish,Seabirds,Benthic filter feeders,Jellyfish,Macroalgae,Marine reptiles,Pelagic sharks,Toothed whales and dolphins,Piscivores,Mesopelagic fish,Larvaceans,Benthic carnivores,Demersal sharks,Benthivores,Benthic grazers,Detritus,Mesozooplankton,Baleen whales,Pinnipeds,Benthic infaunal carnivores,Cephalopods,Deep demersal fish
Benthic filter feeders,0.0,0.03,0.008,0.0,0.0,0.0,0.13684210526315785,0.02,0.009999999999999998,0.0,0.0,0.07999999999999999,0.0,0.0,0.00980392156862745,0.19,0.0,0.029999999999999992,0.0027173913043478256,0.0,0.3655913978494624,0.0,0.0,0.11764705882352938,0.0,0.0,0.16999999999999993,0.029411764705882353,0.038,0.10945273631840795,0.0,0.05,0.0,0.0,0.09638554216867469,0.040816326530612235,0.07999999999999999
Jellyfish,0.0,0.0,0.009,0.0,0.0,0.0,0.04210526315789472,0.0,0.009999999999999998,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.07,0.01,0.019999999999999997,0.03532608695652173,0.0,0.08602150537634408,0.0,0.0,0.014705882352941173,0.0049504950495049506,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204081632653059,0.0
Macroalgae,0.0,0.0,0.008,0.02,0.0,0.0,0.07368421052631577,0.0,0.019999999999999997,0.0,0.25,0.14999999999999997,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.04301075268817204,0.0,0.0,0.014705882352941173,0.0,0.0,0.04999999999999998,0.0,0.016,0.41791044776119396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.007352941176470586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.01,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.075,0.0,0.0,0.0,0.053763440860215055,0.0,0.06999999999999999,0.08823529411764704,0.07920792079207921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06999999999999999,0.0,0.010204081632653059,0.039999999999999994
Mesopelagic fish,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.26,0.06999999999999999,0.0,0.0,0.12999999999999998,0.0,0.0,0.48039215686274506,0.0,0.1,0.0,0.0,0.0,0.0,0.09999999999999998,0.10999999999999997,0.14705882352941174,0.10891089108910891,0.0,0.0,0.32352941176470584,0.042,0.0,0.0,0.0,0.25,0.12999999999999998,0.0,0.3265306122448979,0.21999999999999995
Larvaceans,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027173913043478256,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores,0.0,0.0,0.012,0.0,0.0,0.0,0.052631578947368404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.019999999999999997,0.0,0.0,0.03225806451612903,0.019999999999999997,0.0,0.07352941176470587,0.2871287128712871,0.0,0.029999999999999985,0.029411764705882353,0.0,0.0,0.0,0.03,0.0,0.0,0.08433734939759036,0.010204081632653059,0.029999999999999992
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.009999999999999998,0.04411764705882352,0.0,0.0,0.04999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.04210526315789472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.014705882352941173,0.0,0.0,0.05999999999999997,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117,0.0
Detritus,0.0,0.5,0.0,0.0,0.9,0.0,0.0,0.0,0.4549999999999999,0.04,0.0,0.0,0.32999999999999996,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.41791044776119396,1.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997
Mesozooplankton,0.0,0.0,0.356,0.0,0.0,0.0,0.11578947368421048,0.25,0.23999999999999994,0.41,0.0,0.18999999999999995,0.32999999999999996,0.01,0.0784313725490196,0.26,0.1,0.27999999999999997,0.6657608695652173,0.0,0.16129032258064516,0.029999999999999992,0.09999999999999998,0.1617647058823529,0.2871287128712871,0.0,0.07999999999999996,0.029411764705882353,0.155,0.029850746268656712,0.0,0.23,0.45,0.07999999999999999,0.18072289156626503,0.14285714285714282,0.09999999999999998
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.039999999999999994,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.06315789473684208,0.0,0.029999999999999992,0.08,0.0,0.039999999999999994,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.03532608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.0,0.012,0.0,0.0,0.11,0.0,0.0,0.09638554216867469,0.010204081632653059,0.029999999999999992
Cephalopods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.049019607843137254,0.0,0.25,0.0,0.0027173913043478256,0.0,0.03225806451612903,0.19999999999999996,0.23999999999999994,0.04411764705882352,0.009900990099009901,0.0,0.0,0.2058823529411765,0.004,0.0,0.0,0.0,0.08,0.12999999999999998,0.0,0.16326530612244894,0.11999999999999997
Deep demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08999999999999998,0.014705882352941173,0.009900990099009901,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.02,0.04999999999999999,0.0,0.040816326530612235,0.04999999999999999
