,Offshore pelagic invertivores large,Australian sea lion,Australian fur seal,Crabs & bugs,Large zooplankton,Long-nosed fur seal,Deep squid,Benthic grazers,Non-migrating mesopelagics,Octopus shelf,Benthic carnivores (infauna),Shelf macrozoobenthos,Seagrass,Skates and rays,Redbait,Baleen whales,Slope small demersal invertivores,Shelf small demersal piscivores,Toothed whales,Shelf large demersal piscivores,Rock lobster,Garfish,Gannets,Microzooplankton,Detritus POM,Slope small demersal piscivores,Shelf filter feeders,Squid & cuttlefish shelf,Detritus,Gulls,Shelf large pelagic piscivores,Little Penguins,Migratory mesopelagics,Albatross,Import,Meiobenthos,Benthic detritivore,Offshore pelagic piscivores,Large phytoplankton,Deep macrozoobenthos,Gelatinous zooplankton,Tunas and billfish,Mackerels,Western king prawn,Deep demersal sharks,Shelf demersal sharks,Slope large demersal omnivores,Small phytoplankton,Shelf small demersal omnivores,Bottlenose dolphins,Small petrels,Macroalgae,Anchovy and other small pelagics,Common dolphins,Shelf pelagic sharks,Shags and cormorants,Shearwaters,Offshore pelagic sharks,Pelagic bacteria,Deep filter feeders,Mesozooplankton,Shelf large demersal omnivores
Benthic carnivores (infauna),0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03370786516853932,0.0,0.04999999999999998,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.017171717171717164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.05,0.0,0.0,0.25,0.05999999999999997,0.0,0.029999999999999992,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008749999999999997,0.0,0.049504950495049486
Shelf macrozoobenthos,0.04,0.24,0.0,0.2,0.02,0.02,0.009900990099009901,0.0,0.03,0.17977528089887637,0.0,0.0,0.0,0.08749999999999998,0.0,0.0,0.039999999999999994,0.02,0.0,0.04040404040404039,0.17,0.0,0.0,0.0,0.0,0.43,0.0,0.1,0.0,0.039999999999999994,0.019999999999999997,0.020408163265306124,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.08999999999999996,0.28125000000000006,0.029999999999999992,0.0,0.019999999999999997,0.08,0.05,0.0,0.0049504950495049506,0.0,0.08999999999999998,0.1,0.0,0.04513888888888889,0.0,0.012499999999999995,0.0,0.08910891089108906
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010097,0.015,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.02,0.0,0.017361111111111112,0.0,0.0,0.0,0.0
Redbait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope small demersal invertivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf small demersal piscivores,0.0,0.0,0.15,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.15151515151515144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.11999999999999997,0.039999999999999994,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10891089108910891,0.019999999999999997,0.25,0.0,0.04513888888888889,0.0,0.0,0.0,0.049504950495049486
Toothed whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf large demersal piscivores,0.0,0.08,0.2,0.0,0.0,0.07,0.009900990099009901,0.0,0.01,0.0,0.0,0.0,0.0,0.062499999999999986,0.0,0.0,0.0,0.0,0.1020408163265306,0.05050505050505048,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.051546391752577324,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.010989010989010988,0.0,0.03999999999999998,0.0625,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0297029702970297,0.029999999999999992,0.0,0.0,0.0625,0.0,0.0,0.0,0.029702970297029688
Rock lobster,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03370786516853932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02777777777777778,0.0,0.0,0.0,0.0
Gannets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.42,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.04999999999999999,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.4653465346534653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Detritus POM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0
Slope small demersal piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.02,0.0,0.0,0.0,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061855670103092786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029702970297029688
Shelf filter feeders,0.02,0.0,0.0,0.1,0.02,0.0,0.0,0.04,0.0,0.393258426966292,0.0,0.07999999999999996,0.0,0.012499999999999995,0.0,0.0,0.13999999999999999,0.0,0.0,0.020202020202020193,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.029999999999999992,0.0,0.23999999999999994,0.0,0.06,0.0,0.039603960396039604,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.02499999999999999,0.0,0.039603960396039584
Squid & cuttlefish shelf,0.0,0.12,0.12,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.020202020202020193,0.0,0.0,0.29,0.0,0.0,0.01,0.0,0.05,0.0,0.059999999999999984,0.04999999999999999,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.03,0.0,0.0,0.03999999999999998,0.04166666666666667,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0297029702970297,0.039999999999999994,0.08,0.1,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.12999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999995,0.020833333333333336,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.02,0.0
Gulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf large pelagic piscivores,0.02,0.04,0.25,0.0,0.0,0.08,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.04374999999999999,0.0,0.02,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.17,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247422680412371,0.0,0.0,0.0,0.09411764705882353,0.0,0.0,0.0,0.1,0.07692307692307691,0.0,0.06999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.09999999999999998,0.0,0.08,0.17708333333333334,0.0,0.0,0.0,0.009900990099009896
Little Penguins,0.0,0.08,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Migratory mesopelagics,0.0,0.0,0.0,0.02,0.02,0.2,0.1188118811881188,0.0,0.18,0.05617977528089887,0.0,0.03999999999999998,0.0,0.2999999999999999,0.33,0.06,0.059999999999999984,0.04,0.16326530612244894,0.05555555555555553,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.039999999999999994,0.12755102040816327,0.09090909090909091,0.15463917525773196,0.0,0.0,0.0,0.17647058823529413,0.0,0.10999999999999997,0.0,0.05,0.0,0.0,0.09999999999999996,0.0625,0.09999999999999998,0.0,0.029999999999999992,0.075,0.125,0.0,0.0,0.2079207920792079,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.09900990099009897
Albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic detritivore,0.0,0.0,0.0,0.25,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999998,0.0,0.08749999999999998,0.0,0.0,0.15999999999999998,0.0,0.0,0.017171717171717164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.17,0.0,0.0,0.019999999999999997,0.0,0.0,0.04395604395604395,0.0,0.029999999999999985,0.0,0.019999999999999997,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02499999999999999,0.0,0.019801980198019792
Offshore pelagic piscivores,0.0,0.0,0.0,0.0,0.0,0.05,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.0510204081632653,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.019801980198019802,0.13999999999999999,0.12,0.0,0.0,0.0,0.0,0.0,0.0
Large phytoplankton,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.05,0.0,0.0,0.16999999999999993,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.34,0.0,0.0,0.0,0.009999999999999998,0.0,0.011363636363636364,0.0,0.0,0.0,0.33,0.0,0.0,0.13999999999999999,0.35,0.0,0.0,0.25,0.0,0.0,0.0,0.17,0.009999999999999998,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.062499999999999986,0.35,0.0
Deep macrozoobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.5643564356435643,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019792
Gelatinous zooplankton,0.1,0.0,0.0,0.0,0.01,0.0,0.009900990099009901,0.01,0.07,0.011235955056179773,0.0,0.03999999999999998,0.0,0.02499999999999999,0.0,0.1,0.07999999999999999,0.02,0.010204081632653059,0.03030303030303029,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.019999999999999997,0.019999999999999997,0.020408163265306124,0.045454545454545456,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.059999999999999984,0.02,0.01,0.05494505494505494,0.0,0.01999999999999999,0.020833333333333336,0.0,0.0,0.019999999999999997,0.0,0.07,0.0,0.009900990099009901,0.0,0.0,0.0,0.02,0.0,0.0,0.008749999999999997,0.0,0.019801980198019792
Tunas and billfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.010416666666666668,0.0,0.0,0.0,0.0
Mackerels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545435,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.009900990099009901,0.06999999999999999,0.0,0.15,0.11458333333333334,0.0,0.007499999999999998,0.0,0.009900990099009896
Western king prawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179773,0.0,0.0,0.0,0.04374999999999999,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.07986111111111112,0.0,0.0,0.0,0.039603960396039584
