,Marine reptiles,Jellyfish,Benthic filter feeders,Microplankton,Deep demersal fish,Skates and rays,Microzooplankton,Shallow demersal fish,Deposit feeders,Piscivores,Bacteria,Macroalgae,Benthic grazers,Toothed whales and dolphins,Mesopelagic fish,Oceanic piscivorous fish,Prawns,Mesozooplankton,Pelagic sharks,Cephalopods,Pinnipeds,Nanoplankton,Macrozoobenthos,Benthivores,Larvaceans,Meiobenthos,Detritus,Benthic infaunal carnivores,Herbivorous demersal fish,Baleen whales,Seabirds,Seagrass,Demersal sharks,Benthic carnivores,Nano-Picoplankton,Planktivores
Bacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.41,0.0,0.0,0.0,0.20779220779220772,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012983,0.0,0.0,0.0,0.0,0.0,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606059,0.0,0.0,0.0,0.0,0.0
Mesopelagic fish,0.0,0.0,0.0,0.0,0.155,0.25,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.0,0.08999999999999996,0.08866995073891625,0.0,0.11688311688311684,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0727272727272727,0.0,0.25,0.0,0.0,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.04999999999999998,0.0,0.0,0.0,0.0,0.12307692307692306,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
Prawns,0.05,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.03999999999999998,0.029556650246305414,0.0,0.025974025974025965,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.03,0.0,0.03636363636363635,0.0,0.02,0.029999999999999992,0.0,0.025316455696202528
Mesozooplankton,0.08,0.0,0.26,0.0,0.1,0.15,0.0,0.0,0.0,0.10999999999999997,0.0,0.0,0.03,0.06999999999999998,0.27586206896551724,0.0,0.20779220779220772,0.24,0.015384615384615382,0.0,0.04999999999999999,0.0,0.1,0.15999999999999998,0.0,0.33999999999999997,0.0,0.18181818181818182,0.26,0.45,0.06060606060606059,0.30000000000000004,0.08,0.12999999999999998,0.0,0.6329113924050632
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.15384615384615383,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,0.0,0.0,0.0,0.0,0.13,0.03,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.23999999999999988,0.029556650246305414,0.0,0.038961038961038946,0.0,0.12307692307692306,0.0,0.12999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09696969696969694,0.10000000000000002,0.15,0.0,0.0,0.0
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606059,0.0,0.0,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.19,0.0,0.05,0.0,0.12,0.35,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.03999999999999998,0.04926108374384236,0.0,0.14285714285714282,0.04,0.015384615384615382,0.0,0.10999999999999997,0.0,0.04,0.24999999999999994,0.0,0.0,0.0,0.07792207792207792,0.1,0.05,0.06060606060606059,0.0,0.15,0.07999999999999999,0.0,0.050632911392405056
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.06153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larvaceans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.05911330049261083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025316455696202528
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.11688311688311688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004926108374384236,0.0,0.025974025974025965,0.05,0.0,0.0,0.0,0.0,0.04,0.06999999999999999,0.0,0.059999999999999984,0.0,0.06493506493506494,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08484848484848483,0.0,0.0,0.0,0.0,0.0
Seagrass,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.5,0.005,0.0,0.0,0.0,0.012987012987012983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Benthic carnivores,0.06,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012983,0.0,0.0,0.0,0.039999999999999994,0.0,0.01,0.04999999999999999,0.0,0.0,0.0,0.16883116883116883,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.025316455696202528
Nano-Picoplankton,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101264
Planktivores,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.0,0.06999999999999998,0.009852216748768471,0.0,0.0,0.0,0.09230769230769229,0.0,0.09999999999999998,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.04,0.15,0.08484848484848483,0.20000000000000004,0.08,0.0,0.0,0.0
