,Toothed whales and dolphins,Planktivores,Meiobenthos,Benthivores,Mesopelagic fish,Nanoplankton,Detritus,Macrozoobenthos,Nano-Picoplankton,Benthic infaunal carnivores,Mesozooplankton,Benthic carnivores,Microplankton,Bacteria,Deep demersal fish,Deposit feeders,Cephalopods,Piscivores,Benthic filter feeders,Prawns,Larvaceans,Macroalgae,Pelagic sharks,Microzooplankton,Baleen whales,Shallow demersal fish,Pinnipeds,Demersal sharks,Benthic grazers,Oceanic piscivorous fish,Jellyfish,Herbivorous demersal fish,Seabirds,Skates and rays,Marine reptiles,Seagrass
Mesozooplankton,0.06999999999999999,0.5946601941747571,0.33999999999999997,0.15999999999999998,0.28,0.0,0.0,0.1020408163265306,0.0,0.20289855072463772,0.23999999999999994,0.10999999999999997,0.0,0.0,0.1530612244897959,0.0,0.0,0.12,0.26,0.15999999999999998,0.0,0.0,0.059999999999999984,0.0,0.45,0.0,0.019999999999999997,0.03508771929824561,0.03,0.1894736842105263,0.0,0.26,0.059999999999999984,0.08791208791208788,0.04999999999999999,0.3
Benthic carnivores,0.0,0.0,0.0,0.04999999999999999,0.01,0.0,0.0,0.06122448979591835,0.0,0.17391304347826086,0.029999999999999992,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.008771929824561403,0.0,0.0,0.0,0.0,0.04999999999999999,0.04395604395604394,0.06999999999999999,0.0
Microplankton,0.0,0.13834951456310676,0.4199999999999999,0.0,0.005,0.0,0.0,0.11224489795918365,0.0,0.10144927536231886,0.24999999999999994,0.13999999999999999,0.0,0.0,0.0,0.13,0.0,0.0,0.42,0.04999999999999999,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep demersal fish,0.16999999999999998,0.0,0.019999999999999997,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.1224489795918367,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.059999999999999984,0.07894736842105263,0.0,0.023684210526315787,0.0,0.0,0.024999999999999994,0.04395604395604394,0.0,0.1
Deposit feeders,0.0,0.02184466019417475,0.0,0.07999999999999999,0.0,0.0,0.0,0.09183673469387753,0.0,0.1449275362318841,0.0,0.039999999999999994,0.0,0.0,0.020408163265306117,0.06,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.05,0.0,0.05494505494505492,0.0,0.0
Cephalopods,0.23999999999999994,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.06,0.0,0.029999999999999992,0.0,0.0,0.14999999999999997,0.0,0.08,0.0,0.30999999999999994,0.19883040935672514,0.0,0.13157894736842105,0.0,0.0,0.24999999999999994,0.04395604395604394,0.0,0.1
Piscivores,0.12999999999999998,0.0,0.019999999999999997,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.06122448979591835,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.029239766081871343,0.0,0.05526315789473685,0.0,0.0,0.07499999999999998,0.02197802197802197,0.059999999999999984,0.3
Benthic filter feeders,0.0,0.016990291262135918,0.0,0.14999999999999997,0.425,0.0,0.0,0.173469387755102,0.0,0.2173913043478261,0.029999999999999992,0.15999999999999998,0.0,0.0,0.08163265306122447,0.06,0.0,0.14,0.02,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029239766081871343,0.11,0.010526315789473684,0.0,0.19,0.0,0.032967032967032954,0.14999999999999997,0.0
Prawns,0.0,0.029126213592233004,0.0,0.019999999999999997,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.029999999999999992,0.011695906432748537,0.0,0.010526315789473684,0.0,0.04,0.029999999999999992,0.0769230769230769,0.09999999999999998,0.0
Larvaceans,0.0,0.016990291262135918,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.014563106796116502,0.0,0.009999999999999998,0.0,0.0,0.0,0.08163265306122447,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.15,0.0,0.0,0.039999999999999994,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.0,0.05339805825242717,0.0,0.029999999999999992,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.15999999999999998,0.019999999999999997,0.0,0.0,0.0,0.75,0.0,0.0,0.02,0.029999999999999992,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.032967032967032954,0.0,0.0
Baleen whales,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shallow demersal fish,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.0,0.0
Pinnipeds,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029239766081871343,0.0,0.0,0.0,0.0,0.0,0.02197802197802197,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.0,0.0510204081632653,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.01,0.0,0.0,0.039999999999999994,0.0
Oceanic piscivorous fish,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.01,0.0,0.10999999999999997,0.10526315789473682,0.0,0.25526315789473686,0.0,0.0,0.07499999999999998,0.02197802197802197,0.0,0.0
Jellyfish,0.0,0.014563106796116502,0.0,0.009999999999999998,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.010526315789473684,0.0,0.07,0.019999999999999997,0.0,0.24999999999999994,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.039999999999999994,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.039999999999999994,0.0
