,Pinnipeds,Microplankton,Macrozoobenthos,Larvaceans,Pelagic sharks,Jellyfish,Bacteria,Benthic grazers,Deep demersal fish,Prawns,Macroalgae,Demersal sharks,Baleen whales,Deposit feeders,Mesopelagic fish,Seabirds,Piscivores,Benthic carnivores,Microzooplankton,Nano-Picoplankton,Mesozooplankton,Toothed whales and dolphins,Benthic filter feeders,Marine reptiles,Skates and rays,Oceanic piscivorous fish,Benthivores,Herbivorous demersal fish,Shallow demersal fish,Cephalopods,Meiobenthos,Nanoplankton,Planktivores,Microalgae,Seagrass,Benthic infaunal carnivores,Detritus
Nano-Picoplankton,0.0,0.08080808080808081,0.0,0.09,0.0,0.0027100271002710023,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595744680844,0.039603960396039604,0.0,0.1,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.006,0.0,0.0,0.0,0.0
Mesozooplankton,0.02,0.0,0.1134020618556701,0.0,0.0,0.6639566395663956,0.0,0.02985074626865672,0.12,0.18999999999999995,0.0,0.029999999999999992,0.35,0.0,0.4027777777777778,0.047225501770956316,0.2004008016032064,0.08510638297872337,0.009900990099009901,0.32999999999999996,0.23,0.059999999999999984,0.27999999999999997,0.015,0.04999999999999999,0.25999999999999995,0.15422885572139303,0.25999999999999995,0.38016528925619825,0.07,0.41,0.0,0.356,0.0,0.3,0.19736842105263158,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.0,0.0,0.13402061855670103,0.0,0.0,0.0027100271002710023,0.0,0.10945273631840798,0.08,0.07999999999999999,0.0,0.029999999999999992,0.0,0.039999999999999994,0.0,0.007083825265643447,0.016032064128256508,0.18085106382978716,0.0,0.0,0.03,0.009999999999999998,0.029999999999999992,0.034,0.019999999999999997,0.039999999999999994,0.09950248756218905,0.18999999999999995,0.016528925619834704,0.02,0.0,0.0,0.008,0.0,0.0,0.10526315789473684,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023612750885478157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skates and rays,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.02,0.0,0.0,0.0,0.1002004008016032,0.0,0.0,0.0,0.0,0.08999999999999998,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.05811623246492985,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.385,0.0,0.0,0.0,0.0,0.04958677685950411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.020202020202020204,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shallow demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.021276595744680844,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.04958677685950411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,0.13,0.0,0.0,0.0,0.05,0.0027100271002710023,0.0,0.0,0.15,0.059999999999999984,0.0,0.06999999999999999,0.1,0.0,0.01388888888888889,0.09445100354191263,0.010020040080160319,0.0,0.0,0.0,0.0,0.23999999999999994,0.0,0.003,0.04999999999999999,0.14999999999999997,0.009950248756218905,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Meiobenthos,0.0,0.0,0.010309278350515464,0.0,0.0,0.02439024390243902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03191489361702126,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917352,0.0,0.0,0.0,0.0,0.0,0.0,0.09210526315789475,0.0
Nanoplankton,0.0,0.08080808080808081,0.0,0.0,0.0,0.0027100271002710023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.039999999999999994,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
Planktivores,0.03,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.04,0.0,0.0,0.039999999999999994,0.08,0.0,0.0,0.20661157024793386,0.10821643286573143,0.021276595744680844,0.0,0.0,0.0,0.06999999999999999,0.0,0.01,0.0,0.06999999999999999,0.03980099502487562,0.019999999999999997,0.04958677685950411,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Microalgae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20895522388059704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009950248756218907,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.14999999999999997,0.008264462809917352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.030927835051546393,0.0,0.0,0.035230352303523026,0.0,0.0,0.02,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638296,0.0,0.0,0.21,0.0,0.0,0.019,0.029999999999999992,0.019999999999999997,0.04975124378109452,0.0,0.06611570247933882,0.0,0.08,0.0,0.0,0.0,0.0,0.10526315789473684,0.0
Detritus,0.0,0.0,0.2268041237113402,0.0,0.0,0.0,1.0,0.20895522388059704,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.32999999999999996,0.0,0.0,0.019999999999999997,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.0
