,Skates and rays,Cephalopods,Planktivores,Toothed whales and dolphins,Oceanic piscivorous fish,Benthic filter feeders,Deposit feeders,Microzooplankton,Benthivores,Macrozoobenthos,Demersal sharks,Seagrass,Mesopelagic fish,Nanoplankton,Benthic carnivores,Jellyfish,Prawns,Mesozooplankton,Benthic infaunal carnivores,Larvaceans,Meiobenthos,Pelagic sharks,Marine reptiles,Benthic grazers,Detritus,Herbivorous demersal fish,Piscivores,Microplankton,Macroalgae,Shallow demersal fish,Deep demersal fish,Pinnipeds,Nano-Picoplankton,Baleen whales,Bacteria,Seabirds
Mesopelagic fish,0.18999999999999995,0.0,0.0,0.08999999999999998,0.15300546448087432,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09,0.0,0.0,0.0,0.08999999999999998,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.17525773195876287,0.0,0.0,0.0,0.155,0.27999999999999997,0.0,0.15,0.0,0.06
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores,0.0,0.0,0.059999999999999984,0.039999999999999994,0.0,0.02,0.0,0.0,0.47,0.01,0.01,0.0,0.0,0.0,0.02083333333333333,0.0,0.0,0.0,0.19117647058823525,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.06185567010309277,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.12
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.05208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.020618556701030924,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Prawns,0.06999999999999999,0.0,0.04999999999999999,0.029999999999999992,0.01092896174863388,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.03,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.04,0.05154639175257731,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Mesozooplankton,0.07999999999999999,0.0,0.24999999999999994,0.06999999999999999,0.19672131147540983,0.26,0.0,0.0,0.16,0.1,0.04,0.30000000000000004,0.28,0.0,0.12499999999999997,0.0,0.15999999999999998,0.24,0.20588235294117643,0.0,0.33999999999999997,0.0,0.07,0.05,0.0,0.26,0.12371134020618554,0.0,0.0,0.0,0.1,0.029999999999999992,0.0,0.45,0.0,0.03
Benthic infaunal carnivores,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.08333333333333331,0.0,0.009999999999999998,0.21,0.07352941176470587,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Larvaceans,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.020618556701030924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.07291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06185567010309277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piscivores,0.0,0.0,0.0,0.04999999999999999,0.05737704918032788,0.0,0.0,0.0,0.01,0.0,0.03,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.1,0.0,0.0,0.0,0.11340206185567007,0.0,0.0,0.0,0.08,0.04999999999999999,0.0,0.02,0.0,0.35
Microplankton,0.0,0.0,0.19999999999999996,0.0,0.0,0.42,0.13,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.17708333333333331,0.0,0.04999999999999999,0.24,0.10294117647058822,0.79,0.4199999999999999,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.05208333333333333,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.15,0.020618556701030924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shallow demersal fish,0.039999999999999994,0.0,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.04166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.14999999999999997,0.0,0.0,0.0,0.0
Deep demersal fish,0.14999999999999997,0.0,0.0,0.059999999999999984,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0
Pinnipeds,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Nano-Picoplankton,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.07
