,Macrozoobenthos,Nanoplankton,Jellyfish,Benthic filter feeders,Detritus,Macroalgae,Seabirds,Deposit feeders,Meiobenthos,Benthic infaunal carnivores,Bacteria,Deep demersal fish,Nano-Picoplankton,Prawns,Shallow demersal fish,Herbivorous demersal fish,Cephalopods,Baleen whales,Piscivores,Larvaceans,Microzooplankton,Microplankton,Oceanic piscivorous fish,Pelagic sharks,Mesozooplankton,Planktivores,Benthivores,Demersal sharks,Marine reptiles,Skates and rays,Seagrass,Mesopelagic fish,Benthic grazers,Toothed whales and dolphins
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,0.0,0.0,0.0,0.0,0.0,0.0,0.06122448979591836,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.05999999999999997,0.1,0.01,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.0,0.12,0.07999999999999999,0.12,0.0,0.0,0.0,0.35
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.1799999999999999,0.0,0.07,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.0,0.0,0.0,0.45
Larvaceans,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.23076923076923073,0.0,0.0
Microzooplankton,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.09,0.11956521739130432,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microplankton,0.0,0.0,0.24,0.36,0.0,0.0,0.0,0.0,0.18,0.11956521739130432,0.0,0.0,0.11,0.19,0.009999999999999998,0.1,0.0,0.0,0.0,0.81,0.3,0.37,0.0,0.0,0.35,0.2,0.0,0.0,0.0,0.0,0.0,0.030769230769230764,0.0,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.0,0.0,0.0,0.13,0.35,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.03
Mesozooplankton,0.0,0.0,0.37,0.34,0.0,0.0,0.03061224489795918,0.0,0.0,0.08695652173913042,0.0,0.1,0.11,0.25,0.22999999999999995,0.12,0.03999999999999998,0.45,0.05,0.0,0.0,0.0,0.06,0.0,0.3,0.25,0.13402061855670103,0.01,0.039999999999999994,0.08,0.25,0.36923076923076914,0.02,0.0
Planktivores,0.0,0.0,0.01,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.14999999999999997,0.01,0.03999999999999998,0.25,0.25,0.0,0.0,0.0,0.12,0.08,0.05,0.15,0.020618556701030927,0.08,0.0,0.1,0.5,0.0,0.0,0.0
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.05434782608695651,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03,0.15,0.0,0.0,0.0,0.25,0.21999999999999995,0.25,0.0,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014999999999999996,0.0,0.25,0.0,0.06,0.0
Mesopelagic fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.019999999999999997,0.0,0.04999999999999998,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307691,0.0,0.08
Benthic grazers,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434781,0.0,0.0,0.0,0.03,0.059999999999999984,0.05,0.10999999999999995,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.06185567010309278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
