,Macrozoobenthos,Mesozooplankton,Mesopelagic fish,Oceanic piscivorous fish,Microalgae,Seabirds,Nanoplankton,Jellyfish,Pelagic sharks,Larvaceans,Deposit feeders,Benthivores,Benthic carnivores,Shallow demersal fish,Piscivores,Benthic grazers,Baleen whales,Seagrass,Toothed whales and dolphins,Demersal sharks,Prawns,Deep demersal fish,Marine reptiles,Macroalgae,Meiobenthos,Microplankton,Cephalopods,Detritus,Microzooplankton,Herbivorous demersal fish,Nano-Picoplankton,Benthic filter feeders,Pinnipeds,Bacteria,Benthic infaunal carnivores,Skates and rays,Planktivores
Deposit feeders,0.07999999999999999,0.0,0.00042052144659377637,0.0,0.0,0.0,0.0,0.01634877384196185,0.0,0.0,0.0,0.03999999999999998,0.01990049751243781,0.029999999999999992,0.021999999999999995,0.0,0.0,0.0,0.0,0.03,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.13483146067415727,0.06,0.0
Benthivores,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.029999999999999992,0.05599999999999999,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999997,0.0,0.07865168539325842,0.17,0.0
Shallow demersal fish,0.0,0.0,0.018923465096719935,0.0,0.0,0.024390243902439015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.030612244897959176,0.0,0.0,0.03,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Piscivores,0.0,0.0,0.016820857863751055,0.04499999999999999,0.0,0.08536585365853656,0.0,0.0,0.09374999999999997,0.0,0.0,0.0,0.0,0.019999999999999997,0.12999999999999998,0.0,0.0,0.3,0.08163265306122447,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499999999999999,0.0,0.0,0.0,0.0
Benthic grazers,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999998,0.01990049751243781,0.009999999999999998,0.027999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03370786516853932,0.0,0.01
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.012195121951219507,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.024390243902439015,0.0,0.0,0.026041666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Prawns,0.0,0.009999999999999998,0.006307821698906645,0.0,0.0,0.04878048780487803,0.0,0.0027247956403269754,0.010416666666666664,0.0,0.0,0.01999999999999999,0.0,0.0,0.017999999999999995,0.0,0.0,0.0,0.020408163265306117,0.04,0.039999999999999994,0.07,0.07999999999999999,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.02,0.0,0.0,0.019999999999999997,0.0,0.0,0.02,0.01
Deep demersal fish,0.0,0.0,0.002102607232968882,0.022499999999999996,0.0,0.03658536585365852,0.0,0.0,0.05208333333333333,0.0,0.0,0.01999999999999999,0.0,0.019999999999999997,0.021999999999999995,0.0,0.02,0.1,0.07142857142857142,0.25,0.0,0.1,0.0,0.0,0.01,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.024390243902439015,0.0,0.0,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.039999999999999994,0.0,0.0,0.0,0.0,0.012195121951219507,0.25,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.019999999999999997,0.0,0.42,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.04999999999999999,0.0,0.0,0.02,0.0,0.0,0.005025125628140703,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Meiobenthos,0.029999999999999992,0.0,0.00042052144659377637,0.0,0.0,0.0,0.0,0.024523160762942774,0.0,0.0,0.07,0.0,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06741573033707864,0.0,0.0
Microplankton,0.14999999999999997,0.29999999999999993,0.001261564339781329,0.0,0.0,0.0,0.0,0.15803814713896455,0.0,0.8,0.1,0.14999999999999994,0.2189054726368159,0.0,0.005999999999999998,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.35,0.78,0.029999999999999992,0.0,0.5929648241206029,0.0,0.18999999999999995,0.43,0.0,0.0,0.11235955056179775,0.0,0.27
Cephalopods,0.0,0.0,0.002102607232968882,0.13499999999999998,0.0,0.24390243902439018,0.0,0.0,0.20833333333333331,0.0,0.0,0.04999999999999998,0.0,0.0,0.009999999999999998,0.0,0.08,0.1,0.2448979591836734,0.07,0.06999999999999999,0.15,0.04999999999999999,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.12999999999999998,0.0,0.0,0.02,0.0
Detritus,0.29999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.41791044776119396,0.40999999999999986,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1658291457286432,0.0,0.32999999999999996,0.04,0.0,1.0,0.0,0.0,0.0
Microzooplankton,0.019999999999999997,0.16999999999999998,0.00042052144659377637,0.08999999999999998,0.0,0.0,0.0,0.010899182561307902,0.0,0.11,0.2,0.01999999999999999,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.01,0.02,0.009999999999999998,0.0,0.0,0.12,0.0,0.17,0.0,0.0,0.056179775280898875,0.01,0.28
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07291666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nano-Picoplankton,0.0,0.14999999999999997,0.0,0.0,0.0,0.0,0.25,0.0027247956403269754,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04020100502512562,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.12999999999999998,0.019999999999999997,0.0,0.01,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0,0.03,0.12999999999999995,0.16915422885572137,0.009999999999999998,0.0,0.11,0.0,0.0,0.010204081632653059,0.03,0.07999999999999999,0.08,0.14999999999999997,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.19,0.0,0.01,0.0,0.0,0.08988764044943819,0.01,0.01
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.024390243902439015,0.0,0.0,0.026041666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1658291457286432,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.029999999999999992,0.04999999999999999,0.002102607232968882,0.0,0.0,0.0,0.0,0.03542234332425068,0.0,0.0,0.0,0.029999999999999985,0.029850746268656712,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08988764044943819,0.02,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planktivores,0.0,0.0,0.0,0.06999999999999999,0.0,0.07317073170731704,0.0,0.0,0.062499999999999986,0.0,0.0,0.029999999999999985,0.0,0.029999999999999992,0.10799999999999997,0.0,0.06,0.2,0.06122448979591835,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.02,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0
