,Detritus,Deposit feeders,Benthic carnivores,Cephalopods,Planktivores,Benthic grazers,Benthic filter feeders,Jellyfish,Shallow demersal fish,Oceanic piscivorous fish,Macrozoobenthos,Prawns,Pinnipeds,Piscivores,Mesozooplankton,Seabirds,Bacteria,Demersal sharks,Herbivorous demersal fish,Microplankton,Marine reptiles,Nanoplankton,Benthic infaunal carnivores,Larvaceans,Nano-Picoplankton,Baleen whales,Macroalgae,Seagrass,Benthivores,Deep demersal fish,Skates and rays,Pelagic sharks,Mesopelagic fish,Microzooplankton,Microalgae,Toothed whales and dolphins,Meiobenthos
Macrozoobenthos,0.0,0.0,0.07526881720430105,0.14999999999999994,0.023,0.01,0.04166666666666665,0.040871934604904625,0.12499999999999996,0.04132231404958677,0.041237113402061855,0.08999999999999998,0.11999999999999997,0.057692307692307675,0.1,0.04964539007092199,0.0,0.28,0.03191489361702127,0.0,0.08,0.0,0.09,0.0,0.039999999999999994,0.15,0.0,0.0,0.12999999999999995,0.12,0.19999999999999996,0.01,0.04,0.0,0.0,0.04210526315789473,0.04
Prawns,0.0,0.0,0.0,0.04999999999999998,0.011,0.0,0.0,0.0027247956403269754,0.015624999999999995,0.011019283746556472,0.0,0.04999999999999999,0.029999999999999992,0.019230769230769225,0.0,0.0,0.0,0.02,0.021276595744680847,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.05,0.039999999999999994,0.01,0.03,0.0,0.0,0.0,0.0
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04210526315789473,0.0
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03124999999999999,0.04958677685950412,0.0,0.0,0.07999999999999999,0.11538461538461535,0.0,0.34042553191489355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.34,0.08,0.0,0.0,0.07368421052631578,0.01
Mesozooplankton,0.0,0.0,0.08602150537634405,0.06999999999999998,0.356,0.03,0.11111111111111108,0.6675749318801089,0.3593749999999999,0.20661157024793386,0.10309278350515465,0.18999999999999995,0.04999999999999999,0.19230769230769226,0.23,0.04964539007092199,0.0,0.12,0.276595744680851,0.0,0.07,0.0,0.15,0.0,0.32999999999999996,0.35,0.0,0.0,0.15999999999999992,0.1,0.07999999999999999,0.01,0.29,0.009990009990009988,0.0,0.05263157894736841,0.41
Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.09929078014184398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947364,0.0
Bacteria,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2061855670103093,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.06999999999999999,0.0,0.35,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.33966033966033965,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.0,0.0,0.020408163265306124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0
Microplankton,0.0,0.02,0.1720430107526881,0.03999999999999998,0.267,0.0,0.5972222222222221,0.15803814713896455,0.015624999999999995,0.0,0.1443298969072165,0.12999999999999998,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.7959183673469388,0.0,0.0,0.1,0.8,0.18999999999999995,0.0,0.0,0.0,0.13999999999999996,0.0,0.0,0.0,0.275,0.5894105894105893,0.0,0.0,0.35
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816326530612245,0.0,0.25,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019980019980019977,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.06451612903225803,0.0,0.0,0.0,0.0,0.03542234332425068,0.06249999999999998,0.0,0.030927835051546393,0.039999999999999994,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.02,0.029999999999999992,0.0,0.01,0.0,0.0,0.0,0.08
Larvaceans,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
Nano-Picoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0027247956403269754,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0816326530612245,0.0,0.25,0.0,0.09,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.03996003996003995,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.0,0.043010752688172026,0.0,0.008,0.42,0.0,0.0,0.03124999999999999,0.0,0.041237113402061855,0.12999999999999998,0.0,0.0,0.02,0.0,0.0,0.0,0.18085106382978722,0.010204081632653062,0.06,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.000999000999000999,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.015624999999999995,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.15957446808510634,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04687499999999998,0.022038567493112945,0.0,0.0,0.039999999999999994,0.057692307692307675,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.03157894736842105,0.0
Deep demersal fish,0.0,0.0,0.043010752688172026,0.05999999999999997,0.0,0.0,0.0,0.0,0.03124999999999999,0.0,0.0,0.0,0.06999999999999999,0.019230769230769225,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.029999999999999985,0.08,0.04999999999999999,0.13,0.01,0.0,0.0,0.08421052631578946,0.01
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04210526315789473,0.0
Mesopelagic fish,0.0,0.0,0.0,0.15999999999999992,0.016,0.0,0.0,0.0,0.03124999999999999,0.17630853994490356,0.0,0.10999999999999997,0.12999999999999998,0.2307692307692307,0.0,0.09929078014184398,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.03999999999999998,0.21,0.3499999999999999,0.0,0.11,0.0,0.0,0.11578947368421051,0.0
Microzooplankton,0.0,0.2,0.043010752688172026,0.029999999999999985,0.28,0.01,0.06944444444444443,0.010899182561307902,0.015624999999999995,0.0,0.010309278350515464,0.0,0.0,0.0,0.17,0.0,0.1,0.0,0.05319148936170212,0.010204081632653062,0.0,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.029999999999999985,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Microalgae,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.08,0.043010752688172026,0.0,0.0,0.0,0.0,0.024523160762942774,0.015624999999999995,0.0,0.010309278350515464,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
