,Larvaceans,Baleen whales,Detritus,Seabirds,Nanoplankton,Mesopelagic fish,Microzooplankton,Pelagic sharks,Meiobenthos,Benthic infaunal carnivores,Prawns,Cephalopods,Microplankton,Benthic grazers,Deep demersal fish,Mesozooplankton,Oceanic piscivorous fish,Jellyfish,Bacteria,Piscivores,Demersal sharks,Benthic filter feeders,Skates and rays,Herbivorous demersal fish,Marine reptiles,Macroalgae,Nano-Picoplankton,Macrozoobenthos,Toothed whales and dolphins,Seagrass,Planktivores,Deposit feeders,Benthivores,Shallow demersal fish
Prawns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.07999999999999999,0.07,0.0,0.0,0.24999999999999997,0.0,0.030487804878048776,0.0,0.0,0.01,0.09999999999999998,0.0,0.08,0.10784313725490197,0.0,0.0,0.0,0.04395604395604394,0.01,0.0,0.0,0.0,0.010309278350515464,0.03809523809523809
Cephalopods,0.0,0.08000000000000002,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.039999999999999994,0.06,0.0,0.0,0.022727272727272724,0.0,0.04573170731707316,0.0,0.0,0.0,0.14999999999999997,0.0,0.15,0.0,0.04,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Microplankton,0.81,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.3,0.11,0.18999999999999995,0.0,0.7872340425531914,0.0,0.0,0.35,0.0,0.24,0.0,0.0,0.0,0.36,0.0,0.0196078431372549,0.0,0.0,0.11,0.0,0.0,0.2,0.21428571428571425,0.3,0.0,0.009523809523809523
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04999999999999999,0.09,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.10784313725490197,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.06185567010309278,0.03809523809523809
Deep demersal fish,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.11363636363636363,0.0,0.009146341463414632,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Mesozooplankton,0.0,0.20000000000000004,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.08,0.24999999999999994,0.02,0.0,0.02,0.04545454545454545,0.28,0.18292682926829265,0.37,0.0,0.04,0.0,0.34,0.05,0.09803921568627451,0.0,0.0,0.11,0.0,0.0,0.2,0.5952380952380952,0.0,0.13402061855670103,0.4380952380952381
Oceanic piscivorous fish,0.0,0.35000000000000003,0.0,0.2,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.39634146341463405,0.0,0.0,0.08,0.04999999999999999,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.010309278350515464,0.0
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.0,0.0,0.0,0.5,0.0,0.02,0.0,0.2,0.0,0.0,0.0,0.010638297872340425,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.33,0.032967032967032954,0.0,0.0,0.011904761904761904,0.08,0.0,0.0
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.27,0.0,0.0,0.04545454545454545,0.0,0.02439024390243902,0.0,0.0,0.07,0.0,0.0,0.0,0.004901960784313725,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.010309278350515464,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.21,0.09999999999999998,0.22,0.0,0.13,0.0909090909090909,0.0,0.0,0.04,0.0,0.02,0.029999999999999992,0.0,0.05,0.0784313725490196,0.08,0.0,0.0,0.12087912087912084,0.01,0.0,0.023809523809523808,0.0,0.06185567010309278,0.019047619047619046
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.05182926829268292,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.1,0.04,0.06999999999999999,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.1568627450980392,0.06,0.0,0.0,0.3736263736263735,0.0,0.0,0.07142857142857142,0.02,0.03092783505154639,0.11428571428571428
Nano-Picoplankton,0.14,0.0,0.0,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1276595744680851,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0
Macrozoobenthos,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.05,0.0,0.14,0.06999999999999999,0.06,0.0,0.04,0.022727272727272724,0.0,0.02134146341463414,0.24,0.0,0.04,0.14999999999999997,0.0,0.2,0.00980392156862745,0.25,0.0,0.0,0.06593406593406591,0.0,0.0,0.0,0.0,0.5979381443298968,0.05714285714285714
Toothed whales and dolphins,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22549019607843138,0.05,0.0,0.0,0.05494505494505492,0.0,0.2,0.0,0.0,0.0,0.0
Planktivores,0.0,0.30000000000000004,0.0,0.25,0.0,0.0,0.0,0.18,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.06818181818181818,0.02,0.1219512195121951,0.0,0.0,0.25,0.07999999999999999,0.0,0.12,0.00980392156862745,0.0,0.0,0.0,0.02197802197802197,0.04,0.4,0.047619047619047616,0.0,0.020618556701030927,0.09523809523809523
Deposit feeders,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.06,0.029999999999999992,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.03,0.00980392156862745,0.0,0.0,0.0,0.06593406593406591,0.0,0.0,0.0,0.0,0.020618556701030927,0.019047619047619046
Benthivores,0.0,0.05000000000000001,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.022727272727272724,0.0,0.09146341463414633,0.0,0.0,0.2,0.24999999999999994,0.0,0.125,0.004901960784313725,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714
Shallow demersal fish,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454545,0.0,0.01219512195121951,0.0,0.0,0.1,0.059999999999999984,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.020618556701030927,0.09523809523809523
