,Rock lobster,Slope small demersal piscivores,Long-nosed fur seal,Macroalgae,Slope small demersal invertivores,Seagrass,Detritus,Import,Slope large demersal omnivores,Octopus shelf,Shelf filter feeders,Tunas and billfish,Migratory mesopelagics,Shelf small demersal omnivores,Shelf large pelagic piscivores,Skates and rays,Shelf pelagic sharks,Benthic carnivores (infauna),Garfish,Squid & cuttlefish shelf,Benthic detritivore,Shearwaters,Little Penguins,Detritus POM,Gelatinous zooplankton,Baleen whales,Small petrels,Gulls,Western king prawn,Large zooplankton,Shags and cormorants,Bottlenose dolphins,Anchovy and other small pelagics,Shelf small demersal piscivores,Gannets,Pelagic bacteria,Common dolphins,Shelf demersal sharks,Benthic grazers,Deep demersal sharks,Small phytoplankton,Large phytoplankton,Deep filter feeders,Redbait,Crabs & bugs,Shelf macrozoobenthos,Microzooplankton,Offshore pelagic invertivores large,Non-migrating mesopelagics,Deep squid,Deep macrozoobenthos,Albatross,Offshore pelagic sharks,Offshore pelagic piscivores,Australian fur seal,Meiobenthos,Toothed whales,Shelf large demersal omnivores,Mackerels,Shelf large demersal piscivores,Mesozooplankton,Australian sea lion
Skates and rays,0.0,0.0,0.02898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.02325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07948717948717945,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores (infauna),0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.029999999999999992,0.04545454545454544,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.043956043956043946,0.0,0.0,0.0,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05494505494505494,0.0,0.07291666666666664,0.0,0.0,0.008749999999999997,0.0,0.07,0.06999999999999999,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.0
Garfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squid & cuttlefish shelf,0.0,0.010526315789473682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523362,0.1,0.0,0.012820512820512817,0.0,0.0,0.26,0.0,0.15,0.125,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.08,0.016831683168316833,0.0,0.023529411764705882,0.0,0.0,0.0297029702970297,0.0879120879120879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.039999999999999994,0.07,0.0,0.0,0.04651162790697674,0.0,0.0,0.0,0.0,0.06,0.0,0.19999999999999996
Benthic detritivore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03738317757009345,0.0,0.04166666666666665,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05494505494505494,0.0,0.031249999999999986,0.0,0.0,0.02499999999999999,0.0,0.25,0.07999999999999999,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.01999999999999999,0.04395604395604395,0.0,0.0,0.0
Shearwaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Penguins,0.0,0.0,0.02898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428564,0.0,0.0,0.0,0.0,0.07999999999999999
Detritus POM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelatinous zooplankton,0.0,0.04210526315789473,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.015151515151515148,0.031249999999999997,0.0,0.16999999999999998,0.03738317757009345,0.04,0.031249999999999986,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.021978021978021973,0.08,0.08,0.0,0.0,0.04,0.0,0.0,0.03,0.047058823529411764,0.0,0.0,0.0,0.03296703296703296,0.0,0.031249999999999986,0.0,0.0,0.008749999999999997,0.1,0.0,0.059999999999999984,0.0,0.17241379310344826,0.05,0.010416666666666664,0.059999999999999984,0.0,0.0,0.10999999999999997,0.0,0.0,0.019047619047619042,0.029999999999999985,0.05494505494505494,0.01,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619042,0.0,0.0,0.0,0.0,0.0
Small petrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western king prawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515148,0.0,0.0,0.0,0.009345794392523362,0.0,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07058823529411763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999995,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.04,0.0,0.0
Large zooplankton,0.0,0.13684210526315788,0.05797101449275362,0.0,0.21,0.0,0.0,0.0,0.09999999999999998,0.0,0.031249999999999997,0.11999999999999997,0.19999999999999996,0.09345794392523363,0.075,0.07291666666666664,0.023076923076923068,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.021978021978021973,0.45,0.25,0.029999999999999992,0.0,0.1,0.0,0.0,0.05,0.09411764705882353,0.0,0.0,0.009900990099009901,0.0,0.0,0.052083333333333315,0.0,0.0,0.04999999999999998,0.33,0.0,0.06999999999999999,0.0,0.034482758620689655,0.15,0.031249999999999993,0.11999999999999997,0.08,0.0,0.21999999999999995,0.0,0.0,0.07619047619047617,0.07999999999999996,0.03296703296703296,0.06,0.0,0.0
Shags and cormorants,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottlenose dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anchovy and other small pelagics,0.0,0.0631578947368421,0.014492753623188404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.0,0.25,0.052083333333333315,0.012820512820512817,0.0,0.0,0.03,0.0,0.25,0.35,0.0,0.0,0.15,0.06,0.12999999999999998,0.0,0.0,0.35,0.0297029702970297,0.02,0.047058823529411764,0.09,0.0,0.04950495049504951,0.13186813186813184,0.0,0.052083333333333315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.010416666666666664,0.0,0.05,0.019999999999999997,0.0,0.04651162790697674,0.0,0.0,0.01999999999999999,0.09890109890109888,0.08,0.0,0.11999999999999997
Shelf small demersal piscivores,0.0,0.0,0.02898550724637681,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03846153846153845,0.0,0.375,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.25,0.22772277227722773,0.0,0.0,0.0,0.0,0.19801980198019803,0.14285714285714285,0.0,0.010416666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624999999999999,0.0,0.0,0.029999999999999992,0.0,0.09302325581395347,0.0,0.14285714285714282,0.05999999999999997,0.0,0.3,0.0,0.11999999999999997
Gannets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic bacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Common dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028205128205128195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619042,0.0,0.0,0.0,0.0,0.0
Shelf demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20999999999999994,0.0,0.02325581395348837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic grazers,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454544,0.0,0.0,0.0,0.03738317757009345,0.0,0.020833333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037499999999999985,0.0,0.1,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep demersal sharks,0.0,0.0,0.02898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031249999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.05,0.028571428571428564,0.0,0.0,0.0,0.0,0.0
Small phytoplankton,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.17708333333333334,0.0,0.0,0.009345794392523362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615383,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.4,0.14,0.0,0.04,0.0,0.039999999999999994,0.30000000000000004,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Large phytoplankton,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.3541666666666667,0.0,0.29999999999999993,0.018691588785046724,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.30769230769230765,0.0,0.0,0.0,0.25,0.23,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.32,0.062499999999999986,0.0,0.0,0.16999999999999998,0.5900000000000001,0.0,0.04,0.0,0.13999999999999999,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
Deep filter feeders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012499999999999995,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redbait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
