,Jellyfish,Microplankton,Bacteria,Mesozooplankton,Larvaceans,Herbivorous demersal fish,Seabirds,Benthic grazers,Shallow demersal fish,Nano-Picoplankton,Benthivores,Baleen whales,Prawns,Macrozoobenthos,Microzooplankton,Benthic infaunal carnivores,Meiobenthos,Macroalgae,Mesopelagic fish,Skates and rays,Benthic filter feeders,Deposit feeders,Pelagic sharks,Seagrass,Planktivores,Detritus,Demersal sharks,Marine reptiles,Piscivores,Deep demersal fish,Oceanic piscivorous fish,Cephalopods,Nanoplankton,Toothed whales and dolphins
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05607476635514017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515151515151515,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.08999999999999998,0.059999999999999984,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawns,0.01,0.0,0.0,0.01,0.0,0.0,0.1,0.0,0.03738317757009345,0.0,0.059999999999999984,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.1,0.1,0.02,0.25,0.059999999999999984,0.059999999999999984,0.0,0.0
Macrozoobenthos,0.24,0.0,0.0,0.0,0.0,0.02,0.05,0.04,0.05607476635514017,0.0,0.08999999999999998,0.0,0.14999999999999997,0.0594059405940594,0.0,0.1590909090909091,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.04,0.15,0.04999999999999999,0.06999999999999999,0.0,0.02
Microzooplankton,0.01,0.20000000000000004,0.0,0.12,0.05,0.03,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.13636363636363635,0.05,0.0,0.0,0.0,0.2,0.09,0.0,0.0,0.03157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046724,0.0,0.039999999999999994,0.0,0.04999999999999999,0.019801980198019802,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999997,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.23,0.11214953271028034,0.0,0.09999999999999998,0.0,0.09999999999999998,0.33663366336633666,0.1,0.04545454545454545,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.10526315789473684,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.25,0.0
Mesopelagic fish,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.018691588785046724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.039999999999999994,0.04999999999999999,0.0,0.12
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202020202020202,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.0,0.0,0.0,0.03,0.0,0.15,0.0,0.13,0.018691588785046724,0.0,0.11999999999999997,0.0,0.14999999999999997,0.10891089108910891,0.0,0.2386363636363636,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.08,0.0,0.1,0.029999999999999992,0.21999999999999995,0.0,0.0
Deposit feeders,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.005,0.018691588785046724,0.0,0.07999999999999999,0.0,0.06999999999999999,0.0594059405940594,0.0,0.06818181818181818,0.1,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Seagrass,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.029999999999999992,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.019999999999999997,0.0,0.0,0.0
Planktivores,0.02,0.0,0.0,0.01,0.0,0.01,0.25,0.0,0.09345794392523363,0.0,0.06999999999999999,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808080808080808,0.0,0.15789473684210525,0.0,0.12,0.0,0.25,0.06,0.11999999999999997,0.009999999999999998,0.0,0.02
Detritus,0.0,0.010000000000000002,0.5454545454545455,0.0,0.0,0.0,0.0,0.5,0.0,0.45,0.0,0.0,0.0,0.32673267326732675,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.01
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10101010101010101,0.0,0.0,0.0,0.0,0.25,0.07,0.0,0.04999999999999999,0.09999999999999998,0.0,0.08
Deep demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.075,0.0,0.0,0.12,0.029999999999999992,0.0,0.0,0.04
Oceanic piscivorous fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3535353535353535,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.12999999999999998,0.0,0.0,0.35
Cephalopods,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.050505050505050504,0.0,0.0,0.0,0.15,0.1,0.01,0.05,0.07999999999999999,0.059999999999999984,0.0,0.3
Nanoplankton,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
