,Microzooplankton,Mesopelagic fish,Herbivorous demersal fish,Seabirds,Macrozoobenthos,Demersal sharks,Piscivores,Cephalopods,Planktivores,Skates and rays,Baleen whales,Macroalgae,Benthic grazers,Pelagic sharks,Larvaceans,Bacteria,Deposit feeders,Microplankton,Seagrass,Mesozooplankton,Shallow demersal fish,Prawns,Meiobenthos,Benthivores,Jellyfish,Deep demersal fish,Nano-Picoplankton,Detritus,Benthic infaunal carnivores,Oceanic piscivorous fish,Marine reptiles,Toothed whales and dolphins,Benthic filter feeders,Nanoplankton
Microplankton,0.3,0.013157894736842103,0.08,0.0,0.0,0.0,0.0,0.0,0.2195121951219512,0.0,0.0,0.0,0.06,0.0,0.81,0.0,0.18,0.02,0.0,0.35,0.0,0.2,0.06666666666666667,0.0,0.24,0.0,0.11,0.0,0.12499999999999999,0.0,0.0,0.0,0.36,0.0
Seagrass,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744184,0.03888888888888888,0.0,0.0,0.0
Mesozooplankton,0.0,0.4736842105263157,0.12,0.030303030303030297,0.0,0.0,0.10526315789473684,0.058823529411764705,0.6341463414634146,0.03,0.20000000000000004,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.22999999999999995,0.25,0.0,0.12371134020618556,0.37,0.08,0.11,0.0,0.0909090909090909,0.17441860465116274,0.04444444444444443,0.0,0.34,0.0
Shallow demersal fish,0.0,0.03947368421052631,0.0,0.1767676767676767,0.0,0.0,0.05263157894736842,0.035294117647058816,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.020618556701030927,0.0,0.05,0.0,0.0,0.0,0.0,0.06666666666666665,0.02,0.0,0.0
Prawns,0.0,0.0,0.02,0.03535353535353535,0.0,0.04999999999999999,0.013157894736842105,0.08235294117647059,0.0,0.08,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.05,0.0,0.010309278350515464,0.01,0.25,0.0,0.0,0.0,0.029069767441860458,0.07777777777777777,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.0,0.0,0.0,0.0505050505050505,0.009999999999999998,0.24999999999999994,0.15789473684210525,0.047058823529411764,0.0,0.25,0.05000000000000001,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08720930232558137,0.08888888888888886,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008720930232558138,0.12222222222222219,0.0,0.0,0.0
Deep demersal fish,0.0,0.19736842105263155,0.0,0.0505050505050505,0.0,0.14999999999999997,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.1,0.0,0.0,0.0,0.008720930232558138,0.0,0.04,0.0,0.0
Nano-Picoplankton,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219511,0.0,0.0,0.0,0.0,0.0,0.14,0.33333333333333337,0.0,0.35,0.0,0.2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.25
Detritus,0.62,0.0,0.01,0.0,0.24999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.6666666666666667,0.6,0.0,0.15,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.01,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.019999999999999997,0.009999999999999998,0.0,0.14117647058823526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.020618556701030927,0.02,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.0,0.0,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.12121212121212119,0.0,0.04999999999999999,0.10526315789473684,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.08,0.0,0.0,0.0,0.37790697674418594,0.0,0.35,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.010101010101010098,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222216,0.0,0.0,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.010101010101010098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Benthic filter feeders,0.0,0.0,0.15,0.030303030303030297,0.10999999999999997,0.0,0.07894736842105263,0.2588235294117647,0.024390243902439022,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.1,0.0,0.06185567010309278,0.04,0.12,0.0,0.0,0.2386363636363636,0.0,0.08888888888888886,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
