,Shelf small demersal piscivores,Anchovy and other small pelagics,Shelf large demersal omnivores,Squid & cuttlefish shelf,Mesozooplankton,Detritus POM,Redbait,Slope small demersal invertivores,Shelf pelagic sharks,Migratory mesopelagics,Microzooplankton,Pelagic bacteria,Large zooplankton,Non-migrating mesopelagics,Gulls,Deep demersal sharks,Skates and rays,Slope large demersal omnivores,Meiobenthos,Mackerels,Benthic grazers,Shelf macrozoobenthos,Deep squid,Toothed whales,Small phytoplankton,Shearwaters,Garfish,Common dolphins,Western king prawn,Benthic detritivore,Shelf large demersal piscivores,Slope small demersal piscivores,Tunas and billfish,Benthic carnivores (infauna),Long-nosed fur seal,Deep filter feeders,Shelf filter feeders,Rock lobster,Little Penguins,Offshore pelagic invertivores large,Bottlenose dolphins,Gannets,Seagrass,Baleen whales,Gelatinous zooplankton,Shags and cormorants,Small petrels,Large phytoplankton,Import,Shelf small demersal omnivores,Australian fur seal,Deep macrozoobenthos,Macroalgae,Albatross,Shelf demersal sharks,Australian sea lion,Offshore pelagic sharks,Detritus,Shelf large pelagic piscivores,Octopus shelf,Offshore pelagic piscivores,Crabs & bugs
Microzooplankton,0.0,0.4653465346534653,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic bacteria,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large zooplankton,0.07999999999999999,0.019801980198019802,0.05555555555555554,0.0,0.05,0.0,0.33,0.09999999999999998,0.027027027027027018,0.23391812865497072,0.0,0.0,0.033149171270718224,0.15,0.0,0.052631578947368404,0.14999999999999997,0.1075268817204301,0.0,0.03296703296703296,0.0,0.059999999999999984,0.04950495049504951,0.09999999999999998,0.0,0.1,0.0,0.01,0.0,0.0,0.029999999999999992,0.22033898305084743,0.07999999999999999,0.0,0.048076923076923066,0.05161290322580644,0.03,0.0,0.08247422680412371,0.02,0.02,0.0,0.0,0.45,0.039999999999999994,0.03,0.15,0.0,0.0,0.05208333333333333,0.0,0.11224489795918365,0.0,0.08,0.0,0.0,0.0,0.0,0.06666666666666665,0.0,0.11999999999999997,0.0
Non-migrating mesopelagics,0.14999999999999997,0.0,0.06944444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748536,0.0,0.0,0.005524861878453038,0.1,0.05999999999999997,0.08421052631578944,0.04999999999999999,0.07526881720430106,0.0,0.07692307692307691,0.0,0.0,0.04950495049504951,0.059999999999999984,0.0,0.125,0.0,0.05,0.0,0.0,0.09999999999999998,0.016949152542372878,0.04999999999999999,0.0,0.03846153846153845,0.0,0.0,0.0,0.07731958762886598,0.0,0.03,0.29,0.0,0.02,0.0,0.075,0.03,0.0,0.0,0.0,0.075,0.08163265306122447,0.0,0.1,0.0,0.0,0.0,0.0,0.08333333333333331,0.06666666666666665,0.09999999999999998,0.0
Gulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
Deep demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope large demersal omnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mackerels,0.0,0.0,0.013888888888888885,0.0,0.0,0.0,0.0,0.0,0.054054054054054036,0.0,0.0,0.0,0.0,0.0,0.0,0.04210526315789472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.15,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.032258064516129024,0.0,0.11999999999999997,0.0,0.05555555555555555,0.0,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028846153846153837,0.03870967741935483,0.0,0.12500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028571428571428564,0.0,0.0
Shelf macrozoobenthos,0.059999999999999984,0.0049504950495049506,0.06944444444444443,0.15,0.0,0.0,0.0,0.059999999999999984,0.027027027027027018,0.0,0.0,0.0,0.02209944751381215,0.02,0.04999999999999998,0.10526315789473681,0.11999999999999997,0.1075268817204301,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.016949152542372878,0.0,0.0,0.03846153846153845,0.01290322580645161,0.0,0.18000000000000002,0.041237113402061855,0.04,0.05,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.020833333333333332,0.0,0.07142857142857142,0.0,0.0,0.1290322580645161,0.04,0.039999999999999994,0.0,0.033333333333333326,0.2761904761904761,0.009999999999999998,0.1
Deep squid,0.0,0.0,0.05555555555555554,0.0,0.0,0.0,0.0,0.0,0.10810810810810807,0.02339181286549707,0.0,0.0,0.0,0.08,0.0,0.08421052631578944,0.039999999999999994,0.07526881720430106,0.0,0.0,0.0,0.0,0.0891089108910891,0.20999999999999994,0.0,0.075,0.0,0.11,0.0,0.0,0.034999999999999996,0.0,0.24999999999999994,0.0,0.057692307692307675,0.0,0.0,0.0,0.12371134020618557,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.11224489795918365,0.0,0.35,0.032258064516129024,0.0,0.009999999999999998,0.0,0.0,0.0,0.14999999999999997,0.0
Toothed whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small phytoplankton,0.0,0.0049504950495049506,0.0,0.0,0.25,0.0,0.07,0.039999999999999994,0.0,0.0,0.3,0.0,0.25414364640883974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.0,0.2978723404255319,0.0,0.14583333333333334,0.0,0.010204081632653059,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555555,0.0,0.0,0.0
Shearwaters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.05555555555555555,0.0,0.0,0.0
Common dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western king prawn,0.06999999999999999,0.0049504950495049506,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999995,0.0,0.0,0.009523809523809521,0.0,0.0
Benthic detritivore,0.04999999999999999,0.0,0.02777777777777777,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.0,0.0,0.0,0.15469613259668508,0.0,0.0,0.02105263157894736,0.04999999999999999,0.0,0.0,0.04395604395604395,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.01290322580645161,0.0,0.08500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812499999999999,0.0,0.020408163265306117,0.0,0.0,0.04301075268817203,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Shelf large demersal piscivores,0.0,0.0,0.02777777777777777,0.0,0.0,0.0,0.0,0.0,0.08108108108108106,0.05847953216374268,0.0,0.0,0.0,0.0,0.05999999999999997,0.04210526315789472,0.07999999999999999,0.0,0.5,0.010989010989010988,0.0,0.0,0.009900990099009901,0.07999999999999999,0.0,0.0,0.0,0.03,0.0,0.0,0.07499999999999998,0.033898305084745756,0.029999999999999992,0.0,0.048076923076923066,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.16,0.04999999999999999,0.0,0.0,0.0,0.039999999999999994,0.0
Slope small demersal piscivores,0.0,0.0,0.04166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunas and billfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores (infauna),0.0,0.0,0.02777777777777777,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.035087719298245605,0.0,0.0,0.033149171270718224,0.0,0.0,0.07368421052631577,0.0,0.07526881720430106,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.024999999999999994,0.0,0.0,0.0,0.03846153846153845,0.006451612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.07812499999999999,0.0,0.0,0.0,0.0,0.09677419354838707,0.0,0.0,0.0,0.0,0.14285714285714282,0.0,0.0
Long-nosed fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep filter feeders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005524861878453038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006451612903225805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf filter feeders,0.0,0.039603960396039604,0.04166666666666665,0.0,0.0,0.0,0.0,0.13999999999999999,0.0,0.005847953216374268,0.0,0.0,0.02209944751381215,0.0,0.01999999999999999,0.0,0.06999999999999999,0.07526881720430106,0.0,0.0,0.04,0.07999999999999999,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.17,0.024999999999999994,0.0,0.0,0.0,0.019230769230769225,0.02580645161290322,0.0,0.37500000000000006,0.0,0.02,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.06,0.0,0.0,0.020833333333333332,0.0,0.020408163265306117,0.0,0.0,0.032258064516129024,0.0,0.0,0.0,0.0,0.11428571428571425,0.0,0.2
Rock lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12500000000000003,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04301075268817203,0.1,0.0,0.0,0.0,0.028571428571428564,0.0,0.0
Little Penguins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic invertivores large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottlenose dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gannets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021505376344086016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
