,Jellyfish,Herbivorous demersal fish,Baleen whales,Pinnipeds,Macrozoobenthos,Planktivores,Mesopelagic fish,Shallow demersal fish,Piscivores,Cephalopods,Benthic grazers,Prawns,Larvaceans,Mesozooplankton,Detritus,Nano-Picoplankton,Benthic carnivores,Meiobenthos,Pelagic sharks,Deposit feeders,Toothed whales and dolphins,Oceanic piscivorous fish,Seagrass,Microzooplankton,Demersal sharks,Nanoplankton,Microplankton,Benthivores,Marine reptiles,Macroalgae,Seabirds,Deep demersal fish,Skates and rays,Bacteria,Benthic infaunal carnivores,Benthic filter feeders
Benthic grazers,0.0,0.06,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.13999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813953488372093,0.0,0.0,0.0,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawns,0.0,0.02,0.0,0.0,0.0,0.12,0.05128205128205127,0.0,0.009999999999999998,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.019999999999999997,0.011142061281337047,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.04999999999999999,0.06999999999999999,0.0,0.0,0.0
Larvaceans,0.0,0.0,0.0,0.0,0.0,0.07,0.10256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesozooplankton,0.0,0.26,0.45,0.029999999999999992,0.09999999999999998,0.25,0.4786324786324786,0.0,0.11999999999999997,0.0,0.03,0.16,0.0,0.24,0.0,0.0,0.1511627906976744,0.33999999999999997,0.019999999999999997,0.0,0.039999999999999994,0.20055710306406685,0.3,0.0,0.08,0.0,0.0,0.16,0.05,0.0,0.04999999999999999,0.14999999999999997,0.07999999999999999,0.0,0.2058823529411765,0.26
Detritus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.24,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Nano-Picoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
Benthic carnivores,0.0,0.0,0.0,0.0,0.059999999999999984,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.48,0.05,0.0,0.039999999999999994,0.029999999999999992,0.0,0.0,0.19117647058823528,0.02
Meiobenthos,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13235294117647056,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit feeders,0.0,0.08,0.0,0.0,0.08999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0697674418604651,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.009999999999999998,0.04999999999999999,0.0,0.14705882352941177,0.0
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0
Oceanic piscivorous fish,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999999999999994,0.0,0.07999999999999999,0.2701949860724234,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.0,0.05,0.0,0.0,0.04999999999999999,0.02,0.0,0.0,0.0,0.0,0.005,0.03,0.12,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.02
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.019999999999999997,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microplankton,0.0,0.0,0.0,0.0,0.10999999999999997,0.06,0.0,0.0,0.0,0.0,0.01,0.05,0.79,0.35,0.0,0.0,0.19767441860465115,0.4199999999999999,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10294117647058824,0.42
Benthivores,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0
Marine reptiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.15,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.16999999999999998,0.0,0.41,0.16,0.0,0.0,0.0,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024999999999999994,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0
Deep demersal fish,0.0,0.0,0.03,0.019999999999999997,0.029999999999999992,0.0,0.017094017094017092,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.04999999999999999,0.0,0.1,0.0,0.15,0.0,0.0,0.01,0.0,0.0,0.0,0.11999999999999997,0.14999999999999997,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.059999999999999984,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.0,0.09302325581395347,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.019999999999999997,0.04999999999999999,0.0,0.07352941176470588,0.0
Benthic filter feeders,0.0,0.19,0.0,0.0,0.16999999999999998,0.07,0.0,0.0,0.13999999999999999,0.0,0.11,0.02,0.0,0.02,0.0,0.0,0.2209302325581395,0.0,0.0,0.03,0.0,0.011142061281337047,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.06999999999999999,0.039999999999999994,0.0,0.058823529411764705,0.02
